,publishedAt,channelId,title,description,thumbnails,channelTitle,liveBroadcastContent,publishTime,videID,embeds
12,2024-02-13T19:00:16Z,UCKZGcrxRAhdUi58Mdr565mw,You Cannot Bully Me || Rwanda President Sends Warning To The West  And Its Puppets To Back Off,"With many countries criticizing Rwanda and their leadership, President Kagame asks them to back off and focus on building their ...","{'default': {'url': 'https://i.ytimg.com/vi/d_R3VQzda6o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/d_R3VQzda6o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/d_R3VQzda6o/hqdefault.jpg', 'width': 480, 'height': 360}}",African Diaspora News Channel,none,2024-02-13T19:00:16Z,d_R3VQzda6o,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/d_R3VQzda6o"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
5,2024-02-13T19:00:08Z,UCIwGnOXoSXEI7Tooz3iKq5w,Primary accounts of Black Nobility in Europe...,Join this channel to get access to perks: https://www.youtube.com/channel/UCIwGnOXoSXEI7Tooz3iKq5w/join ...,"{'default': {'url': 'https://i.ytimg.com/vi/7KGAXEV0VcM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/7KGAXEV0VcM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/7KGAXEV0VcM/hqdefault.jpg', 'width': 480, 'height': 360}}",Without History,none,2024-02-13T19:00:08Z,7KGAXEV0VcM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/7KGAXEV0VcM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
10,2024-02-13T18:19:52Z,UC1ettU5YSf_nIOJWffCKGQw,DA MP kicked out for giving middle finger in parliament,A DA member was kicked out of parliament in south africa during the State of the Nation Address Debate after showing an ANC ...,"{'default': {'url': 'https://i.ytimg.com/vi/ro-QzxbuPBo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ro-QzxbuPBo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ro-QzxbuPBo/hqdefault.jpg', 'width': 480, 'height': 360}}",LuiSpot,none,2024-02-13T18:19:52Z,ro-QzxbuPBo,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ro-QzxbuPBo"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
6,2024-02-13T18:00:11Z,UCRVsqvXIdgyPVS-a6fGa1lA,"Thasunda Brown Duckett: Leading A Firm With $1.2 Trillion AUM, Being Fortune 500 CEO, &amp; 401k Myths","Thasunda Brown Duckett: Leading A Firm With $1.2 Trillion AUM, Being Fortune 500 CEO, & 401k Myths In this empowering ...","{'default': {'url': 'https://i.ytimg.com/vi/ktZjJUz7jFM/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ktZjJUz7jFM/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ktZjJUz7jFM/hqdefault.jpg', 'width': 480, 'height': 360}}",Earn Your Leisure,none,2024-02-13T18:00:11Z,ktZjJUz7jFM,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/ktZjJUz7jFM"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
18,2024-02-13T18:00:10Z,UCrPq2ekHx2vZtuyG3wUx0_g,Southern Land Is FBA Land | Black Reverse-Migration Breakdown Clip,cashapp: $joeward84 Follow us on Instagram @ontheshoulders1 Visit us at www.ontheshoulders1.com or ...,"{'default': {'url': 'https://i.ytimg.com/vi/fzixoqtK8yI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/fzixoqtK8yI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/fzixoqtK8yI/hqdefault.jpg', 'width': 480, 'height': 360}}",On the Shoulders of Giants,none,2024-02-13T18:00:10Z,fzixoqtK8yI,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/fzixoqtK8yI"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
19,2024-02-13T17:40:16Z,UCG7uFJVZsxQRwDssom9Pavw,Celebrations Erupt in Abidjan after Ivory Coast Claim Victory in Africa Cup of Nations,The streets of Abidjan erupted into a jubilant frenzy on Monday as hundreds of people flooded the city to celebrate the national ...,"{'default': {'url': 'https://i.ytimg.com/vi/QHWwjs8nQDY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/QHWwjs8nQDY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/QHWwjs8nQDY/hqdefault.jpg', 'width': 480, 'height': 360}}",2nacheki,none,2024-02-13T17:40:16Z,QHWwjs8nQDY,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/QHWwjs8nQDY"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
25,2024-02-13T17:09:03Z,UClwrpH_Np9zk8uMwnMwu8Nw,Wodemaya Meets Black Americans at the Carnival in Trinidad,The Image of AFRICA has been DISTORTED around the WORLD & We are CHANGING the NARRATIVE via YOUTUBE videos ...,"{'default': {'url': 'https://i.ytimg.com/vi/Lw5OxlyedRc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/Lw5OxlyedRc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/Lw5OxlyedRc/hqdefault.jpg', 'width': 480, 'height': 360}}",WODE MAYA,none,2024-02-13T17:09:03Z,Lw5OxlyedRc,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/Lw5OxlyedRc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
20,2024-02-13T17:00:17Z,UCi2uaWdy6OTf4Ty7DVC_7lw,Chaos of Joy but a Sad Goodbye to My Rich AUNTIE from the UK  !!!,"Hello family , welcome to my YouTube channel iam_marwa ,A Sad Goodbye to My Rich AUNTIE from the UK !!! - in KENYA ...","{'default': {'url': 'https://i.ytimg.com/vi/w9IIpvRlYdA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/w9IIpvRlYdA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/w9IIpvRlYdA/hqdefault.jpg', 'width': 480, 'height': 360}}",iam_marwa,none,2024-02-13T17:00:17Z,w9IIpvRlYdA,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/w9IIpvRlYdA"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
27,2024-02-13T16:01:30Z,UCwZ2vurIl_X8rv0Dv4mu12A,Dr. Jerika Johnstone On Kemetic Yoga And The Importance Of Breathing From The Bottom Of Your Lungs,Become A 'I Never Knew Tv' YouTube Member: https://www.youtube.com/channel/UCwZ2vurIl_X8rv0Dv4mu12A/join Dr. Jerika ...,"{'default': {'url': 'https://i.ytimg.com/vi/F5g4aLnwfkg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/F5g4aLnwfkg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/F5g4aLnwfkg/hqdefault.jpg', 'width': 480, 'height': 360}}",I Never Knew Tv,none,2024-02-13T16:01:30Z,F5g4aLnwfkg,"<iframe width=""480"" height=""270"" src=""//www.youtube.com/embed/F5g4aLnwfkg"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
9,2024-02-13T09:25:25Z,UCl6to6J7oVltnhHEVm1s87A,Harriet Tubman was an African-American abolitionist and Union spy during the American Civil War.,"theperspective #africanhistory #africanews #africax5 Born into slavery, Tubman escaped and subsequently made more than 19 ...","{'default': {'url': 'https://i.ytimg.com/vi/sSxuxoHRQkc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/sSxuxoHRQkc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/sSxuxoHRQkc/hqdefault.jpg', 'width': 480, 'height': 360}}",Africax5 Network,none,2024-02-13T09:25:25Z,sSxuxoHRQkc,"<iframe width=""480"" height=""360"" src=""//www.youtube.com/embed/sSxuxoHRQkc"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
